,Unnamed: 0,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acrilico,Alluminio,Altre_fibre,Cashmere,Cotone,Cuoio,Lana,Lino,Lyocell,Modal,Poliammide,Poliestere,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti,Materiale
0,1,0,abiti,Vestiti,H&M,abito in satin con cintura da annodare,39.99,Null,Poliestere 100%,Beige,2014,https://www2.hm.com/it_it/productpage.1058466001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
1,2,0,abiti,Vestiti,H&M,abito plissettato in chiffon,39.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Verde,2015,https://www2.hm.com/it_it/productpage.1048733003.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
2,3,0,abiti,Vestiti,H&M,abito a sottoveste con pizzo,69.99,Null,Poliestere 100%,Beige,2017,https://www2.hm.com/it_it/productpage.1063879001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
3,4,0,abiti,Vestiti,H&M,abito da damigella d’onore in satin,49.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Ciano,2019,https://www2.hm.com/it_it/productpage.1051245002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
4,5,0,abiti,Vestiti,H&M,abito a sottoveste in chiffon,39.99,17.99,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Rosa,2021,https://www2.hm.com/it_it/productpage.1061580001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
5,6,0,abiti,Vestiti,H&M,abito lungo goffrato,39.99,23.99,Poliestere 100%,Beige,2023,https://www2.hm.com/it_it/productpage.0985191002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
6,7,0,abiti,Vestiti,H&M,abito da damigella d’onore in satin,59.99,39.99,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Beige,2024,https://www2.hm.com/it_it/productpage.1051244001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
7,8,0,abiti,Vestiti,H&M,abito monospalla a sottoveste,49.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Beige,2025,https://www2.hm.com/it_it/productpage.1071553002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
8,9,0,abiti,Vestiti,H&M,abito in tessuto crêpe a volant,39.99,Null,"Esterno: Poliestere 100%,Fodera interna: Poliestere 100%",Giallo,2026,https://www2.hm.com/it_it/productpage.1058469002.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
9,10,0,abiti,Vestiti,H&M,abito a sottoveste increspato,39.99,Null,Poliestere 100%,Bianco,2027,https://www2.hm.com/it_it/productpage.1059009001.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Poliestere
