,index,Unnamed: 0,...1,Sesso,Categoria,Sotto_categoria,Marca,Articolo,Prezzo,Prezzo_scontato,Materiali,Colore,Gruppo,Link,Acetato,Acrilico,Alluminio,Alpaca,Altre_fibre,Canapa,Carta,Cashmere,Cotone,Cuoio,Elastan,Elastodiene,Elastomultiestere,Etilenvinilacetato,Fibra_di_acido_polilattico,Fibra_di_asclepiade,Fibra_metallizzata,Fibre_non_specificate,Lana,Lattice,Lino,Lyocell,Modacrilico,Modal,Mohair,Paglia,Pelo_di_yak,Piuma,Piumino,Poliammide,Policarbonato,Poliestere,Polietilene,Polipropilene,Polistirene,Poliuretano,Seta,Viscosa,Cachemire,Gomma,Lana_riciclata,Metallica,Modacrilica,Nylon,N.Fibre_Differenti
0,0,1,1,0,abiti,Vestiti,H&M,abito in satin con cintura da annodare,39.99,Null,Poliestere 100%,Beige,2014,https://www2.hm.com/it_it/productpage.1058466001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,2,0,abiti,Vestiti,H&M,abito plissettato in chiffon,39.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Verde,2015,https://www2.hm.com/it_it/productpage.1048733003.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,3,3,0,abiti,Vestiti,H&M,abito in pizzo con scollo a v,69.99,41.99,"Esterno: Poliestere 100%,Fodera interna: Poliestere 95%, Elastan 5%",Rosa,2016,https://www2.hm.com/it_it/productpage.1073560002.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
3,3,4,4,0,abiti,Vestiti,H&M,abito a sottoveste con pizzo,69.99,Null,Poliestere 100%,Beige,2017,https://www2.hm.com/it_it/productpage.1063879001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,5,5,0,abiti,Vestiti,H&M,abito in misto seta,129,Null,"Esterno: Seta 48%, Viscosa 48%, Elastan 4%,Fodera interna: Viscosa 100%",Beige,2018,https://www2.hm.com/it_it/productpage.1025383001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
5,5,6,6,0,abiti,Vestiti,H&M,abito da damigella d’onore in satin,49.99,Null,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Ciano,2019,https://www2.hm.com/it_it/productpage.1051245002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,7,7,0,abiti,Vestiti,H&M,abito a ruota in pizzo,59.99,29.99,"Fodera interna: Elastan 93%, Poliestere 7%,Esterno: Poliammide 100%",Nero,2020,https://www2.hm.com/it_it/productpage.0926246001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
7,7,8,8,0,abiti,Vestiti,H&M,abito a sottoveste in chiffon,39.99,17.99,"Fodera interna: Poliestere 100%,Esterno: Poliestere 100%",Rosa,2021,https://www2.hm.com/it_it/productpage.1061580001.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,9,9,0,abiti,Vestiti,H&M,abito in pizzo con volant,79.99,Null,"Fodera interna: Poliestere 97%, Elastan 3%,Esterno: Poliestere 100%",Blu,2022,https://www2.hm.com/it_it/productpage.0898093001.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
9,9,10,10,0,abiti,Vestiti,H&M,abito lungo goffrato,39.99,23.99,Poliestere 100%,Beige,2023,https://www2.hm.com/it_it/productpage.0985191002.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
